id,date,title,slug,client,facility,location,start_date,end_date,owner,architect,vendors,contractors,case_study_pdf,sector1,sector2,sector3,sector4,service1,service2,service3,service4,office1,office2,office3,migration_status,migration_note
35419,2020-03-19,"San Rafael City Schools",san-rafael-city-schools-san-rafael-ca,"San Rafael City Schools",,,,,,,,,,k-12-education,,,,project-controls,,,,san-francisco,,,auto-migrated,
35010,2020-03-18,"805 Lea",805-lea-nashville-tn,"Key Real Estate Company",,,,,,,,,,luxury-residential,,,,program-project-management,,,,nashville,,,auto-migrated,
35023,2020-02-11,"1 Hotel / Embassy Suites",1-hotel-embassy-suites-nashville-tn,"Hilton Hotels",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
35020,2020-02-11,"Grand Hyatt",grand-hyatt-nashville-tn,"Hyatt Hotels Corporation",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
35017,2020-02-11,"Thompson Nashville",thompson-nashville-nashville-tn,"Hyatt Hotels Corporation",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
35014,2020-02-11,"Graduate Hotel",graduate-hotel-nashville-tn,"Hilton Hotels",,,,,,,,,,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
35011,2020-02-11,"Hampton Inn",hampton-inn-nashville-tn,"The LCP Group LP",,,,,"Earl Swensson Associates",,,,,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
35004,2020-02-11,"Parson’s Chicken and Fish",parsons-chicken-and-fish-nashville-tn,,,,,,,,,,,retail,,,,program-project-management,,,,nashville,,,auto-migrated,
35001,2020-02-11,"Nashville Warehouse Co – Office Portion",nashville-warehouse-co-office-portion-nashville-tn,"AJ Capital Partners",,,,,,,,,,workplace,,,,program-project-management,,,,nashville,,,auto-migrated,
34998,2020-02-11,"Nashville Yards",nashville-yards-nashville-tn,"Southwest Value Partners",,,,,,,,,,workplace,,,,program-project-management,,,,nashville,,,auto-migrated,
34793,2020-01-28,"Google, Spruce Goose",google-spruce-goose-playa-vista-ca,Google,,,"October 2014","January 2019",,"ZGF Architects","CBRE (Project Management), Arup (Lighting, Engineering, Acoustics), SPMD (Art/Fabrication), Tom Leader Studio (Landscaping), Volume, Inc. (Graphics)","MATT Construction",37069,workplace,,,,cost-commercial-management,,,,los-angeles,,,auto-migrated,
34525,2019-12-17,"Santa Monica Municipal Airport",santa-monica-municipal-airport-santa-monica-ca,"Santa Monica Municipal Airport",,,,,,,,,,transportation,,,,energy-sustainability-solutions,,,,los-angeles,,,auto-migrated,
34522,2019-12-17,"Santa Monica-Malibu Unified School District",santa-monica-malibu-unified-school-district-santa-monica-ca,"Santa Monica-Malibu Unified School District",,,,,,,,,,k-12-education,,,,energy-sustainability-solutions,,,,los-angeles,,,auto-migrated,
34070,2019-10-29,"Barbara Walters Campus Center",barbara-walters-campus-center-bronxville-ny,"Sarah Lawrence College",,,,,,,,,,higher-education,,,,program-project-management,,,,new-york,,,auto-migrated,
33460,2019-09-10,"T5 & T5i at JFK",jetblue-t5-t5i-at-jfk-jamaica-ny,jetBlue,,,,,,,,,,transportation,,,,program-project-management,,,,new-york,,,auto-migrated,
33188,2019-07-29,Yotel,yotel-san-francisco-ca,"Sage Hospitality Group",,,,,,,,,,hospitality-gaming,,,,energy-sustainability-solutions,,,,san-francisco,,,auto-migrated,
33185,2019-07-29,"The Music Center",the-music-center-los-angeles-ca,"The Music Center","135 North Grand Avenue, Los Angeles, CA 90012",,"December 2016","May 2019","The County of Los Angeles",,,,36559,culture-non-profit,,,,energy-sustainability-solutions,,,,los-angeles,,,auto-migrated,
33182,2019-07-29,"Judicial Council of California Courthouses",judicial-council-of-california-various-locations-california,"Judicial Council of California",,,,,,,,,,civic,,,,program-project-management,energy-sustainability-solutions,,,los-angeles,,,auto-migrated,
33178,2019-07-29,"Los Angeles County Department of Parks and Recreation",los-angeles-county-department-of-parks-and-recreation-los-angeles-ca,"Los Angeles Department of Parks and Recreation",,,,,,,,,,civic,,,,energy-sustainability-solutions,,,,los-angeles,,,auto-migrated,
