id,date,title,slug,news_category,location,byline,reprint_url,reprint_publication,reprint_logo,podcast,season,episode,youtube_url,mp3_url,sector1,sector2,sector3,service1,service2,service3,office1,office2,office3,office4,internal_byline1,internal_byline2,migration_status,migration_note
4623,2014-11-12,"Project Services Provider Cumming Opens Larger Office in Dubai",project-management-cost-consulting-provider-cumming-opens-larger-office-dubai,,,,,,,,,,,,,,,,,,,,,,,,,
13757,2014-11-11,"Cumming Continues International Expansion with Opening of New Dubai Office",cumming-continues-international-expansion-with-opening-of-new-dubai-office,,,,,,,,,,,,,,,,,,,,,,,,,
13752,2014-11-03,"Cumming’s Christine Marez to participate at the Green California Schools Summit on Energy Efficiency and Proposition 39 Panels",cummings-christine-marez-to-participate-at-the-green-california-schools-summit-on-energy-efficiency-and-proposition-39-panels,,,,,,,,,,,,,,,,,,,,,,,,,
13748,2014-10-10,"Managing Principal from Cumming to Release Second Construction Management Book, to Speak At National CMAA Conference",managing-principal-from-cumming-to-release-second-construction-management-book-to-speak-at-national-cmaa-conference,,,,,,,,,,,,,,,,,,,,,,,,,
4595,2014-10-08,"Cumming hires new director of project management",cumming-hires-new-director-project-management,,,,,,,,,,,,,,,,,,,,,,,,,
4582,2014-10-03,"Cumming Appoints Bryan Roof to Join Growing D.C. Project Management Team",cumming-appoints-bryan-roof-join-growing-d-c-project-management-team,,,,,,,,,,,,,,,,,,,,,,,,,
13744,2014-10-02,"Cumming Hires Bryan Roof to Join Growing D.C. Project Management Team",cumming-hires-bryan-roof-to-join-growing-d-c-project-management-team,,,,,,,,,,,,,,,,,,,,,,,,,
13740,2014-09-12,"Cumming, Gilbane Joint Venture Leads to Successful University of South Carolina Darla Moore School of Business Opening",cumming-gilbane-joint-venture-leads-to-successful-university-of-south-carolina-darla-moore-school-of-business-opening,,,,,,,,,,,,,,,,,,,,,,,,,
4557,2014-09-02,"New Hire: Mildred Tolentino",new-hire-mildred-tolentino,,,,,,,,,,,,,,,,,,,,,,,,,
4550,2014-08-28,"People on the Move: John Olsson",people-move-john-olsson,,,,,,,,,,,,,,,,,,,,,,,,,
13731,2014-08-24,"Cumming’s Christine Marez to Present at Green Technology, California Proposition 39 Industry Forum",cummings-christine-marez-to-present-at-green-technology-california-proposition-39-industry-forum,,,,,,,,,,,,,,,,,,,,,,,,,
13727,2014-08-21,"Cumming to Oversee $99 Million in Capital Improvements for Clover School District as Construction Manager",cumming-to-oversee-99-million-in-capital-improvements-for-clover-school-district-as-construction-manager,,,,,,,,,,,,,,,,,,,,,,,,,
